name,nation,details,alias,def_country,activeplatforms
ALIANZA LIMA,false,"{""teamAbbr""=>""ALI"", ""teamCity""=>""Lima"", ""teamName""=>""Alianza Lima"", ""teamFounded""=>""1901"", ""teamStadium""=>""Alejandro Villanueva"", ""teamCapacity""=>35000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=621""}",ALIANZA LIMA,PERU,true,"[""PES21"",""FIFA23""]"
PERTH GLORY,false,"{""teamAbbr""=>""PER"", ""teamCity""=>""Perth"", ""teamName""=>""Perth Glory"", ""teamFounded""=>""1996"", ""teamStadium""=>""Perth Oval"", ""teamCapacity""=>20500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=560""}",PERTH GLORY,AUSTRALIA,true,"[""PES21"",""FIFA23""]"
DUNDALK,false,"{""teamAbbr""=>""DUN"", ""teamCity""=>""Dundalk"", ""teamName""=>""Dundalk"", ""teamFounded""=>""1930"", ""teamStadium""=>""Oriel Park"", ""teamCapacity""=>4500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1179""}",DUNDALK,IRELAND,true,"[""FIFA23""]"
DALIAN PRO,false,"{""teamAbbr""=>""DLP"", ""teamCity""=>""Dalian"", ""teamName""=>""Dalian Professional"", ""teamFounded""=>""2009"", ""teamStadium""=>""Dalian Sports Center Stadium"", ""teamCapacity""=>61000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1892""}",DALIAN PRO,CHINA,true,"[""PES21"",""FIFA23""]"
SHARJAH,false,"{""teamAbbr""=>""SHA"", ""teamCity""=>""Sharjah"", ""teamName""=>""Al Sharjah"", ""teamFounded""=>""1966"", ""teamStadium""=>""Sharjah Stadium"", ""teamCapacity""=>20000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1538""}",SHARJAH,UNITED ARAB EMIRATES,true,"[""PES21""]"
YOKOHAMA F. MARINOS,false,"{""teamAbbr""=>""YFM"", ""teamCity""=>""Yokohama"", ""teamName""=>""Yokohama F. Marinos"", ""teamFounded""=>""1992"", ""teamStadium""=>""Nissan Stadium"", ""teamCapacity""=>72327, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=506""}",YOKOHAMA F. MARINOS,JAPAN,true,"[""PES21""]"
JIANGSU SUNING,false,"{""teamAbbr""=>""JIA"", ""teamCity""=>""Nanjing"", ""teamName""=>""Jiangsu FC"", ""teamFounded""=>""1994"", ""teamStadium""=>""Nanjing Olympic Sports Center"", ""teamCapacity""=>60000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1519""}",JIANGSU SUNING,CHINA,true,"[""PES21""]"
ALIANZA PETROLERA,false,"{""teamAbbr""=>""AP"", ""teamCity""=>""Barrancabermeja"", ""teamName""=>""Alianza Petrolera"", ""teamFounded""=>""1990"", ""teamStadium""=>""Estadio Daniel Villa Zapata"", ""teamCapacity""=>10400, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2233""}",ALIANZA PETROLERA,COLOMBIA,true,"[""PES21""]"
ATLÉTICO BUCARAMANGA,false,"{""teamAbbr""=>""BUC"", ""teamCity""=>""Bucaramanga"", ""teamName""=>""Atlético Bucaramanga"", ""teamFounded""=>""1949"", ""teamStadium""=>""Alfonso López"", ""teamCapacity""=>28500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=905""}",ATLÉTICO BUCARAMANGA,COLOMBIA,true,"[""PES21""]"
ENVIGADO,false,"{""teamAbbr""=>""ENV"", ""teamCity""=>""Envigado"", ""teamName""=>""Envigado"", ""teamFounded""=>""1989"", ""teamStadium""=>""Polideportivo Sur"", ""teamCapacity""=>12000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=910""}",ENVIGADO,COLOMBIA,true,"[""PES21""]"
BOYACÁ CHICÓ,false,"{""teamAbbr""=>""CHI"", ""teamCity""=>""Tunja"", ""teamName""=>""Boyacá Chicó"", ""teamFounded""=>""2002"", ""teamStadium""=>""La Independencia"", ""teamCapacity""=>20630, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=907""}",BOYACÁ CHICÓ,COLOMBIA,true,"[""PES21""]"
CD MIRANDÉS,false,"{""teamAbbr""=>""MIR"", ""teamCity""=>""Miranda de Ebro"", ""teamName""=>""CD Mirandés"", ""teamFounded""=>""1927"", ""teamStadium""=>""Municipal Anduva"", ""teamCapacity""=>6900, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1891""}","CD MIRANDÉS, MIRANDA DE EBRO RN",SPAIN,true,"[""PES21"",""FIFA23""]"
THE STRONGEST,false,"{""teamAbbr""=>""CTS"", ""teamCity""=>""La Paz"", ""teamName""=>""The Strongest"", ""teamFounded""=>""1908"", ""teamStadium""=>""Hernando Siles"", ""teamCapacity""=>42000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1413""}",THE STRONGEST,BOLIVIA,true,"[""FIFA23""]"
RKC WAALWIJK,false,"{""teamAbbr""=>""RKC"", ""teamCity""=>""Waalwijk"", ""teamName""=>""RKC Waalwijk"", ""teamFounded""=>""1940"", ""teamStadium""=>""Mandemakers Stadion"", ""teamCapacity""=>7500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=203""}",RKC WAALWIJK,NETHERLANDS,true,"[""PES21"",""FIFA23""]"
SC FARENSE,false,"{""teamAbbr""=>""SCF"", ""teamCity""=>""Faro"", ""teamName""=>""SC Farense"", ""teamFounded""=>""1910"", ""teamStadium""=>""Estádio de São Luís"", ""teamCapacity""=>12000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2203""}","FARENSE, SC FARENSE",PORTUGAL,true,"[""PES21""]"
CD TONDELA,false,"{""teamAbbr""=>""CDT"", ""teamCity""=>""Tondela"", ""teamName""=>""CD Tondela"", ""teamFounded""=>""1933"", ""teamStadium""=>""João Cardoso"", ""teamCapacity""=>5000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2107""}","CD TONDELA, TONDELA",PORTUGAL,true,"[""PES21""]"
